scope,key,n,samples,samples_below,below_loq,loq_gt_30pct_eqs,below_loq_no_loq,no_loq_any,qc_loq_unknown,declared_and_bounded,declared_not_bounded,undeclared_but_bounded,silent,has_eqs,loq_gt_eqs,censored,censored_with_value
substance,Omethoate,3520,19547,13106,3128,0,0,392,392,3126,0,2,392,0,0,3125,3125
substance,Ethofumesate,3438,28648,24218,3117,0,0,312,312,3126,0,0,312,0,0,2910,2910
substance,Total dissolved solids,3328,38325,2,2,0,0,34,0,3294,34,0,0,0,0,1,1
substance,Styrene,3324,22302,20980,3243,0,0,81,81,3243,0,0,81,0,0,3231,3231
substance,Mevinphos,3301,14058,13993,3301,0,0,0,0,3301,0,0,0,0,0,3241,3241
substance,Ethanimidamide,3181,17554,16996,3136,1025,0,2,2,3179,0,0,2,3181,115,3007,3007
substance,Desmetryn,3140,29896,21195,2999,0,0,141,141,2999,0,0,141,0,0,2993,2993
substance,Perfluorooctane sulfonic acid (PFOS) and its derivatives,3097,27208,21503,2847,0,0,1,1,3096,0,0,1,0,0,2531,2531
substance,Phenols,3051,38634,2684,572,0,0,2348,2348,703,0,0,2348,0,0,445,445
substance,Myclobutanil,2974,16499,16395,2974,0,0,0,0,2974,0,0,0,0,0,2969,2969
substance,Clothianidin,2963,16020,15810,2956,2962,0,0,0,2963,0,0,0,2963,1081,2937,2937
substance,Dichlorobenzene,2949,10263,9688,2813,0,0,136,136,2813,0,0,136,0,0,2812,2561
substance,Secbumeton,2931,19726,18166,2739,0,0,192,192,2739,0,0,192,0,0,2738,2738
substance,Pyrimethanil,2913,12641,12324,2886,0,0,0,0,2913,0,0,0,0,0,2828,2828
substance,Permethrin-cis+trans,2895,16545,7468,2457,2623,0,255,255,2640,0,0,255,2895,2623,2408,2408
substance,Diclofenac,2859,23067,7980,1880,1584,0,6,6,2853,0,0,6,2859,678,967,967
substance,Carbofuran,2856,19683,8931,2357,0,0,447,447,2409,0,0,447,0,0,2309,2309
substance,Lenacil,2772,25484,17040,2561,0,0,200,200,2572,0,0,200,0,0,2499,2499
substance,Dichlobenil,2768,24339,13276,2327,0,0,377,377,2391,0,0,377,0,0,2321,2321
substance,"cis-1,3-dichloropropene",2753,15831,15824,2753,0,0,0,0,2753,0,0,0,0,0,2749,2749
substance,AOX,2697,32822,251,132,0,0,15,15,2682,2,0,13,0,0,7,7
